,date,HR_NAME,stn_id,year,semester,Unnamed: 0_x,wlm_rpe,wlm_gse,gwe,gse_gwe,Unnamed: 0_y,latitude,longitude,gse,rpe,well_depth,index_right,OBJECTID,Shape__Are,Shape__Len,month,day,gwchange,pctl_gwchange,half_gwchange,cumgwchange,pctl_cumgwchange,pctl_gwelev,reporting,stat,pctl_gwchange_corr,pctl_cumgwchange_corr,reporting2
0,1990-03-31,Central Coast,54055.0,1990.0,1.0,1802621.0,230.0,229.0,137.5,-74.0,32004.0,36.80399,-121.37043,230.0,230.0,262.0,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,,,,,,0.2,1.0,median,,,199
10,1990-09-30,Central Coast,57409.0,1990.0,2.0,1706190.5,175.45499999999998,178.227,49.33,-72.9,29475.0,36.602125,-121.50983,178.227,175.45499999999998,345.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,,,,,,0.16666666666666669,1.0,median,,,248
20,1991-03-31,Central Coast,56438.0,1991.0,1.0,1266914.0,231.58,230.0,140.8,-68.3,20881.0,35.64018,-120.84328,231.0,231.58,250.0,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,0.5499999999999989,0.6457680250783698,0.27499999999999947,0.27499999999999947,0.33333333333333337,0.33333333333333337,1.0,median,0.7140718562874252,0.1631736526946108,177
30,1991-09-30,Central Coast,56644.5,1991.0,2.0,1631721.0,183.45,182.7,84.6,-66.05,29017.0,36.559475,-121.50365,182.695,184.48,300.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,1.269999999999996,0.675,0.634999999999998,1.1800000000000068,0.33333333333333337,0.19047619047619047,1.0,median,0.7687125748502994,0.1631736526946108,238
40,1992-03-31,Central Coast,56434.0,1992.0,1.0,1220795.0,242.95,242.7,158.60000000000002,-60.05,19986.0,35.5407,-120.68536,242.65,242.95,262.0,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,1.1999999999999886,0.689655172413793,0.5999999999999943,1.25,0.32142857142857145,0.391304347826087,1.0,median,0.7896706586826348,0.13697604790419163,167
50,1992-09-30,Central Coast,56644.5,1992.0,2.0,1586327.25,189.70499999999998,188.25,82.5,-65.53999999999999,28501.5,36.51168,-121.46674999999999,188.0,188.4,300.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,0.8749999999999964,0.6186781609195402,0.4374999999999982,0.6937500000000028,0.26296296296296295,0.25,1.0,median,0.6721556886227545,0.08982035928143713,250
60,1993-03-31,Central Coast,54291.5,1993.0,1.0,1230310.0,252.375,251.875,172.675,-54.735,20054.5,35.551325000000006,-120.685345,252.375,252.375,278.0,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,1.9550000000000054,0.7547440028643035,0.9775000000000027,2.625,0.40370370370370373,0.5666666666666668,1.0,median,0.8997005988023952,0.2851796407185629,176
70,1993-09-30,Central Coast,57431.5,1993.0,2.0,1599935.5,181.04000000000002,180.9,98.0,-59.3675,28665.0,36.52498,-121.48102499999999,181.07,182.22,300.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,2.1025000000000027,0.7546296296296297,1.0512500000000014,2.3850000000000087,0.424812030075188,0.5380747126436782,1.0,median,0.8982035928143712,0.3031437125748503,268
80,1994-03-31,Central Coast,54301.5,1994.0,1.0,1245107.25,254.9,254.275,185.33999999999997,-58.120000000000005,20287.5,35.582535,-120.70005,256.7,256.75,265.0,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,-1.0499999999999998,0.4219128329297821,-0.5249999999999999,2.8262500000000004,0.553639846743295,0.43333333333333335,1.0,median,0.312874251497006,0.5396706586826348,168
90,1994-09-30,Central Coast,57586.0,1994.0,2.0,1724779.0,162.0,164.0,55.12,-61.55,29906.0,36.63344,-121.54916,156.71,157.79,310.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,0.3874999999999993,0.5609110169491525,0.19374999999999964,4.625,0.40370370370370373,0.5,1.0,median,0.5958083832335329,0.2851796407185629,271
100,1995-03-31,Central Coast,54287.0,1995.0,1.0,1290143.5,227.25,226.3,165.07,-60.025,21491.5,35.696725,-120.852475,226.31,227.25,299.0,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,4.200000000000006,0.7872340425531915,2.100000000000003,4.775000000000003,0.6035714285714286,0.7178030303030305,1.0,median,0.9326347305389222,0.6384730538922155,180
110,1995-09-30,Central Coast,57523.5,1995.0,2.0,1721019.0,175.32,177.51350000000002,64.225,-64.45,29785.0,36.6262,-121.543385,178.227,175.32,350.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,2.539999999999992,0.7000000000000001,1.269999999999996,5.08,0.6296296296296297,0.6666666666666667,1.0,median,0.8166167664670658,0.6751497005988024,294
120,1996-03-31,Central Coast,54286.0,1996.0,1.0,1274522.0,238.05,237.7,168.89,-54.0,21059.0,35.65678,-120.7007,237.65,238.05,300.0,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,0.07499999999999662,0.525287356321839,0.03749999999999831,5.664999999999992,0.7222222222222222,0.7083333333333335,1.0,median,0.5359281437125748,0.8293413173652695,195
130,1996-09-30,Central Coast,57414.5,1996.0,2.0,1723664.25,171.45,171.55,55.425,-63.0,29865.5,36.631609999999995,-121.547825,171.56,171.45,346.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,0.45999999999997954,0.5517241379310345,0.22999999999998977,5.689999999999998,0.6428571428571429,0.7000000000000001,1.0,median,0.5793413173652695,0.7013473053892215,302
140,1997-03-31,Central Coast,54062.0,1997.0,1.0,1298262.0,210.4,210.4,150.01,-58.0,21763.0,35.72342,-120.86389,212.36,212.82,300.0,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,-0.2300000000000182,0.49,-0.1150000000000091,5.450000000000006,0.65,0.55,1.0,median,0.468562874251497,0.7163173652694611,191
150,1997-09-30,Central Coast,57343.0,1997.0,2.0,1724775.0,186.4,186.0,81.6,-60.199999999999996,29906.0,36.63344,-121.54472,186.0,186.4,310.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,-0.7899999999999991,0.4452917771883289,-0.3949999999999996,5.500000000000002,0.6,0.5833333333333334,1.0,median,0.38922155688622756,0.6205089820359282,289
160,1998-03-31,Central Coast,54072.5,1998.0,1.0,1517375.25,245.70499999999998,245.95,179.9625,-59.082499999999996,25987.5,36.195785,-121.1725,245.925,245.7,300.0,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,3.5425000000000004,0.7923850574712644,1.7712500000000002,7.900000000000002,0.7666666666666667,0.8708333333333333,1.0,median,0.9401197604790419,0.8967065868263473,190
170,1998-09-30,Central Coast,56644.5,1998.0,2.0,1719431.5,186.96,189.711,97.475,-52.525000000000006,29744.5,36.6226,-121.54001500000001,189.7,186.96,310.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,3.3999999999999986,0.7692307692307692,1.6999999999999993,9.4925,0.8410526315789474,0.9245014245014245,1.0,median,0.9184131736526946,0.9625748502994012,292
180,1999-03-31,Central Coast,54063.5,1999.0,1.0,1280649.0,245.70499999999998,245.95,186.75,-56.825,21184.0,35.66753,-120.77333999999999,245.925,245.7,287.0,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,-0.05750000000000455,0.5,-0.028750000000002274,7.519999999999996,0.7923850574712644,0.7320512820512821,1.0,median,0.49925149700598803,0.9221556886227545,204
190,1999-09-30,Central Coast,56604.5,1999.0,2.0,1719429.5,186.52,188.25,95.185,-56.955,29744.5,36.6226,-121.54001500000001,188.0,186.52,320.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,0.6500000000000028,0.6160256410256411,0.3250000000000014,11.236249999999995,0.8430769230769231,0.7817460317460316,1.0,median,0.6691616766467066,0.9648203592814372,268
200,2000-03-31,Central Coast,54295.5,2000.0,1.0,1790477.5,250.15,249.6,181.7,-59.3775,31764.0,36.780615,-121.52453,249.6,249.225,265.0,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,-0.22999999999998977,0.4833333333333334,-0.11499999999999488,5.990000000000002,0.6666666666666667,0.7000000000000001,1.0,median,0.46107784431137727,0.7529940119760479,218
210,2000-09-30,Central Coast,56594.5,2000.0,2.0,1664237.25,189.70499999999998,189.9275,103.0,-57.325,29221.0,36.580749999999995,-121.51046500000001,189.711,189.65,303.5,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,-0.5,0.4715425531914894,-0.25,7.777500000000002,0.7543103448275862,0.76,1.0,median,0.4476047904191617,0.8802395209580839,272
220,2001-03-31,Central Coast,56438.5,2001.0,1.0,1753132.5,199.575,201.85000000000002,121.25,-59.265,30644.0,36.694455000000005,-121.55902,205.225,205.72500000000002,310.0,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,0.5,0.5925925925925926,0.25,7.5,0.75,0.7759197324414715,1.0,median,0.6407185628742516,0.8667664670658682,244
230,2001-09-30,Central Coast,56440.0,2001.0,2.0,1741362.0,191.95999999999998,191.65,102.2,-65.89,30285.5,36.66312,-121.549995,190.572,190.865,300.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,-1.2000000000000028,0.368421052631579,-0.6000000000000014,5.280000000000001,0.6923076923076923,0.5825771324863884,1.0,median,0.20359281437125748,0.782185628742515,242
240,2002-03-31,Central Coast,54070.0,2002.0,1.0,1796415.25,254.9,254.275,175.225,-68.695,31688.5,36.783694999999994,-121.507845,256.7,256.75,279.5,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,-1.6999999999999957,0.3846153846153846,-0.8499999999999979,3.4000000000000004,0.5714285714285715,0.5223214285714286,1.0,median,0.2312874251497006,0.5755988023952096,194
250,2002-09-30,Central Coast,56457.0,2002.0,2.0,1739008.0,175.32,176.8,56.269999999999996,-59.864999999999995,30234.0,36.66078,-121.5612,178.227,175.32,300.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,-2.2749999999999986,0.3279569892473118,-1.1374999999999993,7.501250000000002,0.6333333333333334,0.6206896551724137,1.0,median,0.1437125748502994,0.6856287425149701,259
260,2003-03-31,Central Coast,54064.5,2003.0,1.0,1866001.0,195.69,195.825,109.9,-59.12,33475.5,36.9356,-121.545605,197.57,197.955,278.0,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,0.10000000000000853,0.5386904761904763,0.05000000000000426,4.922500000000001,0.6071428571428572,0.6,1.0,median,0.5658682634730539,0.6407185628742516,212
270,2003-09-30,Central Coast,56459.0,2003.0,2.0,1739007.0,175.32,174.9,57.66,-62.515,30234.0,36.66078,-121.56167,174.91,175.32,299.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,-0.8300000000000018,0.42450142450142453,-0.4150000000000009,6.862500000000001,0.6296296296296297,0.576923076923077,1.0,median,0.3218562874251497,0.6751497005988024,285
280,2004-03-31,Central Coast,54059.5,2004.0,1.0,1869015.0,185.67000000000002,185.8,57.855000000000004,-60.0475,33529.5,36.93935,-121.586775,186.6305,185.67000000000002,278.5,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,-1.259999999999998,0.38596491228070173,-0.629999999999999,4.449999999999999,0.5,0.4686274509803922,1.0,median,0.23502994011976047,0.4408682634730539,230
290,2004-09-30,Central Coast,54073.0,2004.0,2.0,1750940.0,175.59,178.227,57.79,-65.595,30578.0,36.68949,-121.57285,178.227,175.59,293.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,-1.1999999999999886,0.3846153846153846,-0.5999999999999943,3.7749999999999986,0.5333333333333333,0.4827586206896552,1.0,median,0.2312874251497006,0.5097305389221557,323
300,2005-03-31,Central Coast,49143.5,2005.0,1.0,1022512.0,206.98000000000002,206.64499999999998,112.4025,-45.465,14297.0,34.839839999999995,-120.4631,206.655,207.425,292.5,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,1.3899999999999864,0.7000000000000001,0.6949999999999932,4.067499999999999,0.6551724137931033,0.8,1.0,median,0.8166167664670658,0.7267964071856288,622
310,2005-09-30,Central Coast,50377.5,2005.0,2.0,1467069.0,132.01749999999998,131.0,54.0,-52.585,26220.5,36.311589999999995,-121.23080999999999,131.0,132.20999999999998,313.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,0.0,0.5555555555555556,0.0,3.214999999999989,0.6428571428571429,0.6785714285714286,1.0,median,0.5845808383233533,0.7013473053892215,572
320,2006-03-31,Central Coast,49119.0,2006.0,1.0,982774.0,210.73,210.53,119.02,-45.8,13546.0,34.77498,-120.4498,212.36,212.66,290.0,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,0.6049999999999898,0.6785714285714286,0.3024999999999949,0.7150000000000003,0.8,0.8333333333333335,1.0,median,0.7739520958083832,0.9348802395209581,573
330,2006-09-30,Central Coast,52345.0,2006.0,2.0,1471565.0,127.0,126.7,51.22,-49.38,26337.0,36.32459,-121.23498,124.0,123.0,320.0,1.0,13.0,44485956520.26546,1953953.380967319,9.0,30.0,0.6000000000000001,0.660377358490566,0.30000000000000004,2.5999999999999996,0.8,0.7692307692307692,1.0,median,0.7425149700598802,0.9348802395209581,541
340,2007-03-31,Central Coast,49116.0,2007.0,1.0,982575.0,199.15,198.8,112.66499999999999,-48.41,13528.0,34.77402,-120.4501,198.75,199.15,284.0,1.0,13.0,44485956520.26546,1953953.380967319,3.0,31.0,-1.1999999999999957,0.46666666666666673,-0.5999999999999979,0.21250000000000002,0.8,0.6666666666666667,1.0,median,0.437874251497006,0.9348802395209581,573
