,date,reservoir_storage,res_percentile,total_storage,capacity,reporting,value_period,month,day,export_basin,SWDI,SWC,snow_pctl
0,1991-01-31,9421935.0,0.03333333333333333,10493587.496830083,29703137.0,1.0,10493587.496830083,1,31,delta_basin,0.03333333333333333,1043285.951530676,0.13333333333333333
1,1991-02-28,9422604.0,0.03333333333333333,10618382.289479636,29703137.0,1.0,10618382.289479636,2,28,delta_basin,0.03333333333333333,1167409.730027212,0.06666666666666667
2,1991-03-31,9494317.0,0.03333333333333333,13906887.67063826,29694497.0,1.0,13906887.67063826,3,31,delta_basin,0.03333333333333333,4381215.3934217775,0.2
3,1991-04-30,13096624.0,0.03333333333333333,18933746.353357337,29703137.0,1.0,18933746.353357337,4,30,delta_basin,0.1,5797692.450904679,0.5
4,1991-05-31,15161118.0,0.03333333333333333,17990626.172260225,29703137.0,1.0,17990626.172260225,5,31,delta_basin,0.13333333333333333,2783862.714025091,0.6333333333333334
5,1991-06-30,16106578.0,0.1,16390541.71664279,29703137.0,1.0,16390541.71664279,6,30,delta_basin,0.1,235471.76945196092,0.5
6,1991-07-31,15438075.0,0.13333333333333333,15488767.326168872,29703137.0,1.0,15488767.326168872,7,31,delta_basin,0.13333333333333333,4213.035680968545,0.5
7,1991-08-31,13379021.0,0.13333333333333333,13420347.513357826,29703137.0,1.0,13420347.513357826,8,31,delta_basin,0.13333333333333333,1046.4004873560723,0.5
8,1991-09-30,11706347.0,0.13333333333333333,11744329.287743038,29703137.0,1.0,11744329.287743038,9,30,delta_basin,0.13333333333333333,2738.08127524839,0.5
9,1991-10-31,11103418.0,0.13333333333333333,11222191.0597503,29703137.0,1.0,11222191.0597503,10,31,delta_basin,0.13333333333333333,85344.08686147693,0.5
10,1991-11-30,10739619.0,0.13333333333333333,11317719.707374848,29703137.0,1.0,11317719.707374848,11,30,delta_basin,0.16666666666666669,545767.0212624016,0.7000000000000001
11,1991-12-31,10536413.0,0.13333333333333333,11701283.34387748,29703137.0,1.0,11701283.34387748,12,31,delta_basin,0.13333333333333333,1133148.4484645128,0.33333333333333337
12,1992-01-31,10419031.0,0.13333333333333333,12871148.96628347,29703137.0,1.0,12871148.96628347,1,31,delta_basin,0.1,2420749.471930939,0.26666666666666666
13,1992-02-29,11053161.0,0.06666666666666667,15277370.87198266,29703137.0,1.0,15277370.87198266,2,29,delta_basin,0.13333333333333333,4190932.2074468574,0.26666666666666666
14,1992-03-31,13553335.0,0.1,19234457.10368383,29703137.0,1.0,19234457.10368383,3,31,delta_basin,0.13333333333333333,5640317.1850301195,0.33333333333333337
15,1992-04-30,15984825.0,0.13333333333333333,18992484.631949566,29703137.0,1.0,18992484.631949566,4,30,delta_basin,0.13333333333333333,2959534.2455543503,0.2
16,1992-05-31,17350280.0,0.13333333333333333,17609944.382139783,29703137.0,1.0,17609944.382139783,5,31,delta_basin,0.1,207428.03115907774,0.06666666666666667
17,1992-06-30,16582820.0,0.13333333333333333,16760363.69417504,29703137.0,1.0,16760363.69417504,6,30,delta_basin,0.13333333333333333,127617.92895569446,0.5
18,1992-07-31,14486525.0,0.1,14614631.161097858,29703137.0,1.0,14614631.161097858,7,31,delta_basin,0.1,84491.69468055936,0.5
19,1992-08-31,12276041.0,0.1,12383008.292544434,29703137.0,1.0,12383008.292544434,8,31,delta_basin,0.1,70007.91284972204,0.5
20,1992-09-30,10316118.0,0.06666666666666667,10406039.979476646,29703137.0,1.0,10406039.979476646,9,30,delta_basin,0.06666666666666667,58863.324480509655,0.5
21,1992-10-31,9613822.0,0.06666666666666667,9736842.337430865,29703137.0,1.0,9736842.337430865,10,31,delta_basin,0.06666666666666667,94076.07945589093,0.5
22,1992-11-30,8990174.0,0.06666666666666667,9459381.306596486,29575523.0,1.0,9459381.306596486,11,30,delta_basin,0.03333333333333333,403232.6032874674,0.6666666666666667
23,1992-12-31,8991272.0,0.06666666666666667,11461614.08260536,29632564.0,1.0,11461614.08260536,12,31,delta_basin,0.1,2421794.021762565,0.8
24,1993-01-31,10004416.0,0.1,18316508.96504692,29575523.0,1.0,18316508.96504692,1,31,delta_basin,0.26666666666666666,8238675.211688647,0.9666666666666668
