,date,reservoir_storage,res_percentile,total_storage,reporting,value_period,month,day,HR_NAME,SWDI,SWC,snow_pctl
0,1991-01-31,84791.0,0.03333333333333333,106596.9220308157,1.0,106596.9220308157,1,31,Central Coast,0.03333333333333333,,0.5
1,1991-02-28,83541.0,0.03333333333333333,105025.45627927934,1.0,105025.45627927934,2,28,Central Coast,0.03333333333333333,,0.5
2,1991-03-31,90627.0,0.03333333333333333,113933.78133158866,1.0,113933.78133158866,3,31,Central Coast,0.03333333333333333,,0.5
3,1991-04-30,291894.0,0.13333333333333333,291894.0,1.0,291894.0,4,30,Central Coast,0.13333333333333333,,0.5
4,1991-05-31,313168.0,0.13333333333333333,313167.99999999994,1.0,313167.99999999994,5,31,Central Coast,0.13333333333333333,,0.5
5,1991-06-30,310335.0,0.13333333333333333,310335.0,1.0,310335.0,6,30,Central Coast,0.13333333333333333,,0.5
6,1991-07-31,286434.0,0.13333333333333333,286434.0,1.0,286434.0,7,31,Central Coast,0.13333333333333333,,0.5
7,1991-08-31,240199.0,0.13333333333333333,298897.46247836266,1.0,298897.46247836266,8,31,Central Coast,0.13333333333333333,,0.5
8,1991-09-30,192738.0,0.13333333333333333,192738.0,1.0,192738.0,9,30,Central Coast,0.06666666666666667,,0.5
9,1991-10-31,164319.0,0.16666666666666669,204474.34059668056,1.0,204474.34059668056,10,31,Central Coast,0.13333333333333333,,0.5
10,1991-11-30,133077.0,0.06666666666666667,165597.59871703494,1.0,165597.59871703494,11,30,Central Coast,0.06666666666666667,,0.5
11,1991-12-31,127871.0,0.06666666666666667,159119.38611139395,1.0,159119.38611139395,12,31,Central Coast,0.06666666666666667,,0.5
12,1992-01-31,133766.0,0.1,166454.97260971388,1.0,166454.97260971388,1,31,Central Coast,0.1,,0.5
13,1992-02-29,141642.0,0.1,176255.6645962733,1.0,176255.6645962733,2,29,Central Coast,0.1,,0.5
14,1992-03-31,349339.0,0.16666666666666669,349339.00000000006,1.0,349339.00000000006,3,31,Central Coast,0.16666666666666669,,0.5
15,1992-04-30,418611.0,0.16666666666666669,418611.0,1.0,418611.0,4,30,Central Coast,0.16666666666666669,,0.5
16,1992-05-31,429802.0,0.16666666666666669,429802.0,1.0,429802.0,5,31,Central Coast,0.16666666666666669,,0.5
17,1992-06-30,395920.0,0.2,395920.0,1.0,395920.0,6,30,Central Coast,0.16666666666666669,,0.5
18,1992-07-31,356688.0,0.2,443853.3803075043,1.0,443853.3803075043,7,31,Central Coast,0.2,,0.5
19,1992-08-31,339835.0,0.2,422881.9402301191,1.0,422881.9402301191,8,31,Central Coast,0.2,,0.5
20,1992-09-30,319500.0,0.23333333333333336,397577.5888402403,1.0,397577.5888402403,9,30,Central Coast,0.23333333333333336,,0.5
21,1992-10-31,287479.0,0.26666666666666666,357731.47938091843,1.0,357731.47938091843,10,31,Central Coast,0.23333333333333336,,0.5
22,1992-11-30,252805.0,0.23333333333333336,314584.0449037776,1.0,314584.0449037776,11,30,Central Coast,0.23333333333333336,,0.5
23,1992-12-31,236870.0,0.23333333333333336,294754.94043376436,1.0,294754.94043376436,12,31,Central Coast,0.23333333333333336,,0.5
24,1993-01-31,254318.0,0.3,316466.7832196314,1.0,316466.7832196314,1,31,Central Coast,0.3,,0.5
25,1993-02-28,584892.0,0.5333333333333333,584892.0,1.0,584892.0,2,28,Central Coast,0.3666666666666667,,0.5
26,1993-03-31,683713.0,0.5666666666666668,683713.0,1.0,683713.0,3,31,Central Coast,0.43333333333333335,,0.5
27,1993-04-30,771693.0,0.6666666666666667,771693.0,1.0,771693.0,4,30,Central Coast,0.4,,0.5
28,1993-05-31,773633.0,0.6666666666666667,773633.0,1.0,773633.0,5,31,Central Coast,0.4,,0.5
29,1993-06-30,762943.0,0.6666666666666667,762943.0,1.0,762943.0,6,30,Central Coast,0.4,,0.5
30,1993-07-31,730716.0,0.7000000000000001,730716.0,1.0,730716.0,7,31,Central Coast,0.43333333333333335,,0.5
31,1993-08-31,681272.0,0.7000000000000001,681272.0,1.0,681272.0,8,31,Central Coast,0.46666666666666673,,0.5
32,1993-09-30,624710.0,0.7000000000000001,624710.0000000001,1.0,624710.0000000001,9,30,Central Coast,0.46666666666666673,,0.5
33,1993-10-31,575837.0,0.7000000000000001,575837.0,1.0,575837.0,10,31,Central Coast,0.4,,0.5
34,1993-11-30,525240.0,0.6,525240.0,1.0,525240.0,11,30,Central Coast,0.43333333333333335,,0.5
35,1993-12-31,495051.0,0.6666666666666667,495051.0,1.0,495051.0,12,31,Central Coast,0.43333333333333335,,0.5
36,1994-01-31,478323.0,0.46666666666666673,478323.00000000006,1.0,478323.00000000006,1,31,Central Coast,0.3666666666666667,,0.5
37,1994-02-28,464386.0,0.3,464386.0,1.0,464386.0,2,28,Central Coast,0.23333333333333336,,0.5
38,1994-03-31,510558.0,0.23333333333333336,510558.0,1.0,510558.0,3,31,Central Coast,0.23333333333333336,,0.5
39,1994-04-30,508777.0,0.23333333333333336,633109.0232155585,1.0,633109.0232155585,4,30,Central Coast,0.23333333333333336,,0.5
40,1994-05-31,507138.0,0.26666666666666666,631069.4937379085,1.0,631069.4937379085,5,31,Central Coast,0.26666666666666666,,0.5
41,1994-06-30,503347.0,0.33333333333333337,626352.0707667244,1.0,626352.0707667244,6,30,Central Coast,0.33333333333333337,,0.5
42,1994-07-31,443483.0,0.26666666666666666,551858.847673353,1.0,551858.847673353,7,31,Central Coast,0.26666666666666666,,0.5
43,1994-08-31,393779.0,0.26666666666666666,490008.4674676713,1.0,490008.4674676713,8,31,Central Coast,0.26666666666666666,,0.5
