SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"09527590","COACHELLA CANAL ABOVE ALL-AMERICAN CANAL DIVERSION","ST-CA","USGS",-114.94314170,32.71469444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09527590"
"09527594","COACHELLA CANAL NEAR NILAND, CA","ST","USGS",-115.45116670,33.25622220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09527594"
"09527597","COACHELLA CANAL NEAR DESERT BEACH, CA","ST","USGS",-115.91860830,33.53808109,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09527597"
"09527630","BROCK RESERVOIR INLET NEAR CALEXICO, CA","ST-CA","USGS",-115.02544250,32.70949320,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09527630"
"09527660","BROCK RESERVOIR OUTLET NEAR CALEXICO, CA","ST-CA","USGS",-115.03433060,32.70575278,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09527660"
"09527700","ALL-AMERICAN CANAL BELOW DROP 2 RESERVOIR OUTLET","ST-CA","USGS",-115.04811390,32.70425000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=09527700"
"10251290","BOREHOLE SPG CHANNEL NR TECOPA HOT SPGS, CA","ST","USGS",-116.23425000,35.88569444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10251290"
"10251300","AMARGOSA RV AT TECOPA, CA","ST","USGS",-116.23083330,35.84944444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10251300"
"10251330","AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA","ST","USGS",-116.20763890,35.79052778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10251330"
"10251335","WILLOW CK AT CHINA RANCH, CA","ST","USGS",-116.19441670,35.80094444,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10251335"
"10254050","SALT C NR MECCA","ST","USGS",-115.84332890,33.44697395,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10254050"
"10254730","ALAMO R NR NILAND CA","ST","USGS",-115.59693430,33.19892768,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10254730"
"10254970","NEW R AT INTERNATIONAL BOUNDARY AT CALEXICO CA","ST","USGS",-115.50305010,32.66589250,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10254970"
"10255550","NEW R NR WESTMORLAND CA","ST","USGS",-115.66443820,33.10476565,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10255550"
"10256500","SNOW C NR WHITE WATER CA","ST","USGS",-116.68112700,33.87057220,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10256500"
"10257500","FALLS C NR WHITE WATER CA","ST","USGS",-116.67168240,33.86946114,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10257500"
"10257548","WHITEWATER R A WINDY POINT MAIN CHANNEL CA","ST","USGS",-116.62112560,33.89890450,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10257548"
"10257549","WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA","ST","USGS",-116.62112560,33.89890450,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10257549"
"10257600","MISSION C NR DESERT HOT SPRINGS CA","ST","USGS",-116.62806890,34.01112284,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10257600"
"10257720","CHINO CYN C BL TRAMWAY NR PALM SPRINGS CA","ST","USGS",-116.60580830,33.84385000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10257720"
"10258000","TAHQUITZ C NR PALM SPRINGS CA","ST","USGS",-116.55918160,33.80501929,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10258000"
"10258500","PALM CYN C NR PALM SPRINGS CA","ST","USGS",-116.53557090,33.74502178,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10258500"
"10258700","MURRAY CYN C NR PALM SPRINGS CA","ST","USGS",-116.54444440,33.75277778,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10258700"
"10259000","ANDREAS C NR PALM SPRINGS CA","ST","USGS",-116.55001550,33.76002110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10259000"
"10259050","PALM CYN WASH NR CATHEDRAL CITY CA","ST","USGS",-116.48195800,33.79724196,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10259050"
"10259100","WHITEWATER R A RANCHO MIRAGE CA","ST","USGS",-116.42279030,33.74946600,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10259100"
"10259200","DEEP C NR PALM DESERT CA","ST","USGS",-116.39223420,33.63113647,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10259200"
"10259300","WHITEWATER R A INDIO CA","ST","USGS",-116.23611800,33.73724340,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10259300"
"10259540","WHITEWATER R NR MECCA","ST","USGS",-116.07750230,33.52474915,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10259540"
"10260500","DEEP C NR HESPERIA CA","ST","USGS",-117.22643160,34.34305858,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10260500"
"10260855","GRASS VALLEY LK TUNNEL OUTLET A LAKE ARROWHEAD CA","FA-DV","USGS",-117.20444440,34.26000000,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10260855"
"10260950","WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA","ST","USGS",-117.25782130,34.33889196,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10260950"
"10261500","MOJAVE R A LO NARROWS NR VICTORVILLE CA","ST","USGS",-117.32060180,34.57304916,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10261500"
"10262000","MOJAVE R NR HODGE CA","ST","USGS",-117.19167780,34.83551667,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10262000"
"10262500","MOJAVE R A BARSTOW CA","ST","USGS",-117.02281800,34.90692668,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10262500"
"10262700","MOJAVE R A DAGGETT CA","ST","USGS",-116.88765830,34.86966110,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10262700"
"10263000","MOJAVE R A AFTON CA","ST","USGS",-116.38418870,35.03720565,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10263000"
"10263500","BIG ROCK C NR VALYERMO CA","ST","USGS",-117.83950720,34.42083115,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=10263500"
