FID,Id,NAME,Shape__Length
1,0,Muddy Creek,89432.1549564028
2,0,Blacks Fork,336187.989303401
3,0,Hams Fork,249363.070009363
4,0,Muddy Creek,114612.720740009
5,0,Green River,1569276.47969303
6,0,Big Sandy River,263002.734294489
7,0,Price River,278230.748066984
8,0,Lake Fork River,112553.260626335
9,0,Duchesne River,257639.940903235
10,0,Strawberry River,162379.128643203
11,0,San Rafael River,207841.8929731
12,0,White River,375899.286688184
13,0,Muddy Creek,168150.471868929
14,0,Little Snake River,305738.948821975
15,0,Muddy Creek,97908.0835239212
16,0,Colorado River,2655851.48654455
17,0,Fryingpan River,81910.7845348643
18,0,Roaring Fork River,130704.588633599
19,0,Blue River,126568.499017734
20,0,North Fork Gunnison River,74207.6314855719
21,0,Gunnison River,325264.084423962
22,0,San Miguel River,159436.023983042
23,0,Dolores River,490155.845804082
24,0,Paria River,169122.439538923
25,0,Fremont River,191752.950632879
26,0,Muddy Creek,219099.716632813
27,0,Escalante River,223055.586476558
28,0,Dirty Devil River,160106.174551881
29,0,San Juan River,742377.982826487
30,0,Animas River,237763.28305211
31,0,Virgin River,296474.051719423
32,0,Muddy River,66670.4698292403
33,0,Little Colorado River,655918.031457072
34,0,Bill Williams River,88096.2172168755
35,0,Big Sandy River,104783.823612128
36,0,Santa Maria River,94149.8770123611
37,0,Gila River,1120703.35280485
38,0,Salt River,359311.985898639
39,0,Verde River,457548.22662897
40,0,Black River,206489.906361603
41,0,Agua Fria River,238337.835148879
42,0,Blue River,92949.6226190861
43,0,San Francisco River,290884.038576928
44,0,Hassayampa River,216149.803439639
45,0,San Pedro River,283298.963946755
46,0,Uncompahgre River,149768.223383056
47,0,Yampa River,474579.736162705
