YEAR,DATE,ALLOCATION
1996,12/1/1995,75%
-,3/4/1996,90%
-,3/8/1996,100%
1997,12/2/1996,70%
-,2/11/1997,100%
1998,12/1/1997,40%
-,1/26/1998,60%
-,2/11/1998,80%
-,3/11/1998,100%
1999,11/24/1998,55%
-,2/10/1999,60%
-,3/10/1999,100%
2000,11/30/1999,50%
-,2/25/2000,70%
-,3/10/2000,100%
-,4/20/2000,90%
2001,12/1/2000,40%
-,1/31/2001,20%
-,3/6/2001,25%
-,3/15/2001,30%
-,5/4/2001,33%
-,5/17/2001,35%
-,8/16/2001,39%
2002,11/30/2001,20%
-,1/11/2002,45%
-,3/22/2002,55%
-,3/28/2002,60%
-,5/14/2002,65%
-,8/23/2002,70%
2003,12/3/2002,20%
-,1/16/2003,45%
-,3/26/2003,50%
-,4/24/2003,70%
-,5/16/2003,90%
2004,12/1/2003,35%
-,1/15/2004,50%
-,3/1/2004,65%
2005,12/1/2004,40%
-,1/14/2005,60%
-,4/1/2005,70%
-,4/21/2005,80%
-,5/27/2005,90%
2006,11/22/2005,55%
-,12/14/2005,65%
-,1/17/2006,70%
-,3/23/2006,80%
-,4/18/2006,100%
2007,11/30/2006,60%
2008,11/21/2007,25%
-,2/1/2008,35%
2009,10/29/2008,15%
-,3/18/2009,20%
-,4/15/2009,30%
-,5/20/2009,40%
2010,11/30/2009,5%
-,2/23/2010,15%
-,3/30/2010,20%
-,4/22/2010,30%
-,5/3/2010,40%
-,5/20/2010,45%
-,6/22/2010,50%
2011,11/22/2010,25%
-,12/16/2010,50%
-,1/20/2011,60%
-,3/15/2011,70%
-,4/20/2011,80%
2012,11/18/2011,60%
-,2/21/2012,50%
-,4/16/2012,60%
-,5/23/2012,65%
2013,11/29/2012,30%
-,12/21/2012,40%
-,3/22/2013,35%
2014,11/19/2013,5%
-,1/31/2014,0%
-,4/18/2014,5%
2015,12/1/2014,10%
-,1/15/2015,15%
-,3/2/2015,20%
2016,12/1/2015,10%
-,1/26/2016,15%
-,2/24/2016,30%
-,3/17/2016,45%
-,4/21/2016,60%
2017,11/28/2016,20%
-,12/21/2016,45%
-,1/18/2017,60%
-,4/14/2017,85%
2018,11/29/2017,15%
-,1/29/2018,20%
-,4/24/2018,30%
-,5/21/2018,35%
2019,11/30/2018,10%
-,1/25/2019,15%
-,2/20/2019,35%
-,3/20/2019,70%
-,6/19/2019,75%
2020,12/2/2019,10%
-,1/24/2020,15%
-,5/22/2020,20%
2021,12/1/2020,10%
-,3/23/2021,5%
2022,12/1/2021,0%
-,1/20/2022,15%
-,3/18/2022,5%
2023,12/1/2022,5%
-,1/26/2023,30%
-,2/22/2023,35%
-,3/24/2023,75%
-,4/20/2023,100%
2024,12/1/2023,10%
,2/21/2024,15%
,3/22/2024,30%
,4/23/2024,40%
1995,"December 8, 1994",40%
,"January 13, 1995",60%
,"January 28, 1995",100%
1994,"December 9, 1993",50%
,"February 3, 1994",50%
,"April 13, 1994",50%
,"May 25, 1994",50%
1993,"December 1, 1992",10%
,"January 13, 1993",25%
,1/26/1993,40%
,2/15/1993,55%
,3/29/1993,85%
,4/21/1993,100%
1992,12/31/1991,20%
,3/9/1992,35%
,3/20/1992,45%
