site_datatype_id,site_id,datatype_id,site_metadata.site_id,site_metadata.site_name,site_metadata.site_common_name,site_metadata.description,site_metadata.elevation,site_metadata.lat,site_metadata.longi,site_metadata.db_site_code,site_metadata.objecttype_id,site_metadata.objecttype_name,site_metadata.basin_id,site_metadata.hydrologic_unit,site_metadata.river_mile,site_metadata.segment_no,site_metadata.state_id,site_metadata.state_code,site_metadata.usgs_id,site_metadata.nws_code,site_metadata.shef_code,site_metadata.scs_id,site_metadata.parent_objecttype_id,site_metadata.parent_site_id,datatype_metadata.datatype_id,datatype_metadata.datatype_name,datatype_metadata.datatype_common_name,datatype_metadata.physical_quantity_name,datatype_metadata.unit_id,datatype_metadata.unit_name,datatype_metadata.unit_common_name,datatype_metadata.allowable_intervals,datatype_metadata.agen_id,datatype_metadata.cmmnt,last_meas_date,last_meas_val
23452,3876,19,3876,UNMEASURED GAINS BELOW GUNN TUNNEL TO GJ,UNMEASURED GAINS BELOW GUNN TUNNEL TO GJ,unmeasured gains are all those below measured sites above.,,39.0473,-108.5775,UC,6,,11,1.402E+11,0,0,6,,,GJNC2LOC,,,0,0,19,average flow,flow,flow,2,,,non-instant,0,,,
2013,1008,19,1008,Colorado River at Cibola Gage,CLC,USBR Site - telemetry,214.5,33 13.256',-114 40.354',LC,9,,0,1.50301E+11,87,0,3,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
2020,1015,19,1015,Colorado River at Taylor Ferry,TFLC,USBR Site - telemetry,236,33 26.063',-114 37.567',LC,9,,0,1.50301E+11,106,0,3,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
2021,1016,19,1016,Colorado River at Water Wheel,WWLC,USBR Site - telemetry,305.91,33 55.914',-114 32.108',LC,9,,0,1.50301E+11,151,0,3,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
2049,1008,66,1008,Colorado River at Cibola Gage,CLC,USBR Site - telemetry,214.5,33 13.256',-114 40.354',LC,9,,0,1.50301E+11,87,0,3,,,,,,0,0,66,average gage height,gage height,gage height,4,feet,feet,non-instant,0,,,
2055,751,66,751,Colorado River at Parker Gage,PGLC,USBR Site - telemetry,347.3,34 08.934',-114 18.468',LC,9,,0,1.50301E+11,175,0,5,,,,,,0,0,66,average gage height,gage height,gage height,4,feet,feet,non-instant,0,,,
2057,1015,66,1015,Colorado River at Taylor Ferry,TFLC,USBR Site - telemetry,236,33 26.063',-114 37.567',LC,9,,0,1.50301E+11,106,0,3,,,,,,0,0,66,average gage height,gage height,gage height,4,feet,feet,non-instant,0,,,
2058,1016,66,1016,Colorado River at Water Wheel,WWLC,USBR Site - telemetry,305.91,33 55.914',-114 32.108',LC,9,,0,1.50301E+11,151,0,3,,,,,,0,0,66,average gage height,gage height,gage height,4,feet,feet,non-instant,0,,,
2060,1018,66,1018,Colorado River Below Davis Dam,DDMLC,USBR Site - telemetry,,35 11.875',-114 34.169',LC,9,,0,1.50301E+11,274,0,3,,,,,,0,0,66,average gage height,gage height,gage height,4,feet,feet,non-instant,0,,,
2117,1018,19,1018,Colorado River Below Davis Dam,DDMLC,USBR Site - telemetry,,35 11.875',-114 34.169',LC,9,,0,1.50301E+11,274,0,3,,,,,,0,0,19,average flow,flow,flow,2,cubic feet per second (cfs),cfs,non-instant,0,,,
