,YEAR,DATE,ALLOCATION
127,1991,12/31/1991,20
128,1992,3/9/1992,35
129,1992,3/20/1992,45
121,1992,12/1/1992,10
122,1993,1/13/1993,25
123,1993,1/26/1993,40
124,1993,2/15/1993,55
125,1993,3/29/1993,85
126,1993,4/21/1993,100
117,1993,12/9/1993,50
118,1994,2/3/1994,50
119,1994,4/13/1994,50
120,1994,5/25/1994,50
114,1994,12/8/1994,40
115,1995,1/13/1995,60
116,1995,1/28/1995,100
0,1995,12/1/1995,75
1,1996,3/4/1996,90
2,1996,3/8/1996,100
3,1996,12/2/1996,70
4,1997,2/11/1997,100
5,1997,12/1/1997,40
6,1998,1/26/1998,60
7,1998,2/11/1998,80
8,1998,3/11/1998,100
9,1998,11/24/1998,55
10,1999,2/10/1999,60
11,1999,3/10/1999,100
12,1999,11/30/1999,50
13,2000,2/25/2000,70
14,2000,3/10/2000,100
15,2000,4/20/2000,90
16,2000,12/1/2000,40
17,2001,1/31/2001,20
18,2001,3/6/2001,25
19,2001,3/15/2001,30
20,2001,5/4/2001,33
21,2001,5/17/2001,35
22,2001,8/16/2001,39
23,2001,11/30/2001,20
24,2002,1/11/2002,45
25,2002,3/22/2002,55
26,2002,3/28/2002,60
27,2002,5/14/2002,65
28,2002,8/23/2002,70
29,2002,12/3/2002,20
30,2003,1/16/2003,45
31,2003,3/26/2003,50
32,2003,4/24/2003,70
33,2003,5/16/2003,90
34,2003,12/1/2003,35
35,2004,1/15/2004,50
36,2004,3/1/2004,65
37,2004,12/1/2004,40
38,2005,1/14/2005,60
39,2005,4/1/2005,70
40,2005,4/21/2005,80
41,2005,5/27/2005,90
42,2005,11/22/2005,55
43,2005,12/14/2005,65
44,2006,1/17/2006,70
45,2006,3/23/2006,80
46,2006,4/18/2006,100
47,2006,11/30/2006,60
48,2007,11/21/2007,25
49,2008,2/1/2008,35
50,2008,10/29/2008,15
51,2009,3/18/2009,20
52,2009,4/15/2009,30
53,2009,5/20/2009,40
54,2009,11/30/2009,5
55,2010,2/23/2010,15
56,2010,3/30/2010,20
57,2010,4/22/2010,30
58,2010,5/3/2010,40
59,2010,5/20/2010,45
60,2010,6/22/2010,50
61,2010,11/22/2010,25
62,2010,12/16/2010,50
63,2011,1/20/2011,60
64,2011,3/15/2011,70
65,2011,4/20/2011,80
66,2011,11/18/2011,60
67,2012,2/21/2012,50
68,2012,4/16/2012,60
69,2012,5/23/2012,65
70,2012,11/29/2012,30
71,2012,12/21/2012,40
72,2013,3/22/2013,35
73,2013,11/19/2013,5
74,2014,1/31/2014,0
75,2014,4/18/2014,5
76,2014,12/1/2014,10
77,2015,1/15/2015,15
78,2015,3/2/2015,20
79,2015,12/1/2015,10
80,2016,1/26/2016,15
81,2016,2/24/2016,30
82,2016,3/17/2016,45
83,2016,4/21/2016,60
84,2016,11/28/2016,20
85,2016,12/21/2016,45
86,2017,1/18/2017,60
87,2017,4/14/2017,85
88,2017,11/29/2017,15
89,2018,1/29/2018,20
90,2018,4/24/2018,30
91,2018,5/21/2018,35
92,2018,11/30/2018,10
93,2019,1/25/2019,15
94,2019,2/20/2019,35
95,2019,3/20/2019,70
96,2019,6/19/2019,75
97,2019,12/2/2019,10
98,2020,1/24/2020,15
99,2020,5/22/2020,20
100,2020,12/1/2020,10
101,2021,3/23/2021,5
102,2021,12/1/2021,0
103,2022,1/20/2022,15
104,2022,3/18/2022,5
105,2022,12/1/2022,5
106,2023,1/26/2023,30
107,2023,2/22/2023,35
108,2023,3/24/2023,75
109,2023,4/20/2023,100
110,2023,12/1/2023,10
111,2024,2/21/2024,15
112,2024,3/22/2024,30
113,2024,4/23/2024,40
