,R-squared,Adjusted R-squared,Number of Variables,Predictor_1,Predictor_2,Predictor_3
0,0.0019809775130688045,-0.06039521139236448,1,SWDI SC,,
1,0.10805085312299767,0.05230403144318507,1,SWDI delta imports,,
2,0.08202308813247772,0.02464953114075752,1,SWDI colorado,,
3,0.10914450827721622,0.05346604004454225,1,SWDI MEA,,
4,0.0043653864311614665,-0.05786177691689098,1,SWDI PWL,,
5,0.19258851109795683,0.14212529304157917,1,SWDI SL,,
6,0.04881202377278204,-0.010637224741419038,1,gw elevation indicator,,
7,0.5052835283915555,0.4743637489160277,1,gw pumping intensity,,
8,0.018270771030437616,-0.04308730578015996,1,exp_SWDI SC,,
9,0.08854935885235105,0.03158369378062298,1,exp_SWDI delta imports,,
10,0.0974364909308727,0.04102627161405226,1,exp_SWDI colorado,,
11,0.09085277859034191,0.034031077252238306,1,exp_SWDI MEA,,
12,0.004856905304169157,-0.05733953811432024,1,exp_SWDI PWL,,
13,0.19568922986922144,0.14541980673604782,1,exp_SWDI SL,,
14,0.07172987633577244,0.013712993606758261,1,exp_gw elevation indicator,,
15,0.4464764499142472,0.4118812280338876,1,exp_gw pumping intensity,,
16,0.0070708460680418694,-0.05498722605270556,1,log_SWDI SC,,
17,0.07741391722573754,0.019752287052346107,1,log_SWDI delta imports,,
18,0.06954080077454172,0.01138710082295058,1,log_SWDI colorado,,
19,0.14287024616419175,0.08929963654945372,1,log_SWDI MEA,,
20,0.016995019203910222,-0.04444279209584545,1,log_SWDI PWL,,
21,0.10972572019398696,0.05408357770611116,1,log_SWDI SL,,
22,0.02309853980864951,-0.03795780145330996,1,log_gw elevation indicator,,
23,0.5765440300151836,0.5500780318911326,1,log_gw pumping intensity,,
24,0.2829696578585007,0.1873656122396341,2,SWDI SC,SWDI delta imports,
25,0.12078892804772623,0.0035607851207564156,2,SWDI SC,SWDI colorado,
26,0.16605491493046365,0.05486223692119219,2,SWDI SC,SWDI MEA,
27,0.00672310698158296,-0.12571381208753918,2,SWDI SC,SWDI PWL,
28,0.30902045899299946,0.21688985352539936,2,SWDI SC,SWDI SL,
29,0.08122898965062142,-0.04127381172929567,2,SWDI SC,gw elevation indicator,
30,0.6068630186592432,0.5544447544804756,2,SWDI SC,gw pumping intensity,
31,0.1209415288713308,0.0037337327208416538,2,SWDI SC,exp_SWDI SC,
32,0.15791827442765027,0.04564071101800371,2,SWDI SC,exp_SWDI delta imports,
33,0.13077172645226975,0.014874623312572388,2,SWDI SC,exp_SWDI colorado,
34,0.12954462355001906,0.013483906690021641,2,SWDI SC,exp_SWDI MEA,
35,0.0074419064856854344,-0.12489917264955652,2,SWDI SC,exp_SWDI PWL,
36,0.27283798054116726,0.17588304461332294,2,SWDI SC,exp_SWDI SL,
37,0.1140990867119388,-0.004021035059802669,2,SWDI SC,exp_gw elevation indicator,
38,0.5337636391603064,0.47159879104834734,2,SWDI SC,exp_gw pumping intensity,
39,0.1396828613924318,0.024973909578089426,2,SWDI SC,log_SWDI SC,
40,0.2180766746646342,0.11382023128658547,2,SWDI SC,log_SWDI delta imports,
41,0.10962034798440146,-0.009096938951011602,2,SWDI SC,log_SWDI colorado,
42,0.2376161310087309,0.1359649484765617,2,SWDI SC,log_SWDI MEA,
43,0.018865021470267807,-0.11195297566702989,2,SWDI SC,log_SWDI PWL,
44,0.19337761732714887,0.08582796630410205,2,SWDI SC,log_SWDI SL,
45,0.03507997033318666,-0.09357603362238853,2,SWDI SC,log_gw elevation indicator,
46,0.6426149172420146,0.5949635728742833,2,SWDI SC,log_gw pumping intensity,
47,0.3047840237238919,0.2120885602204109,2,SWDI delta imports,SWDI colorado,
48,0.32953128645668883,0.2401354579842474,2,SWDI delta imports,SWDI MEA,
49,0.11550701917594774,-0.002425378267259193,2,SWDI delta imports,SWDI PWL,
50,0.2074668817504094,0.10179579931713068,2,SWDI delta imports,SWDI SL,
51,0.1084942722651373,-0.010373158099511004,2,SWDI delta imports,gw elevation indicator,
52,0.5431378988283879,0.48222295200550636,2,SWDI delta imports,gw pumping intensity,
53,0.18252986589184683,0.0735338480107598,2,SWDI delta imports,exp_SWDI SC,
54,0.11133623797074421,-0.007152263633156464,2,SWDI delta imports,exp_SWDI delta imports,
55,0.30294339157933114,0.21000251045657536,2,SWDI delta imports,exp_SWDI colorado,
56,0.2970236148367955,0.20329343014836831,2,SWDI delta imports,exp_SWDI MEA,
57,0.11899192815239856,0.001524185239385023,2,SWDI delta imports,exp_SWDI PWL,
58,0.20283302339876796,0.09654409318527035,2,SWDI delta imports,exp_SWDI SL,
59,0.10957550553534878,-0.009147760393271254,2,SWDI delta imports,exp_gw elevation indicator,
60,0.47122165875588273,0.40071787992333374,2,SWDI delta imports,exp_gw pumping intensity,
61,0.3565809780769932,0.2707917751539256,2,SWDI delta imports,log_SWDI SC,
62,0.11542193522384536,-0.0025218067463086413,2,SWDI delta imports,log_SWDI delta imports,
63,0.285721507137925,0.19048437475631497,2,SWDI delta imports,log_SWDI colorado,
64,0.3784983027204505,0.2956314097498439,2,SWDI delta imports,log_SWDI MEA,
65,0.12188362926325236,0.0048014464983526794,2,SWDI delta imports,log_SWDI PWL,
66,0.11883444110704644,0.0013456999213192766,2,SWDI delta imports,log_SWDI SL,
67,0.11815211704298811,0.0005723993153865514,2,SWDI delta imports,log_gw elevation indicator,
68,0.5960086143152818,0.5421430962239862,2,SWDI delta imports,log_gw pumping intensity,
69,0.10918155540994856,-0.00959423720205832,2,SWDI colorado,SWDI MEA,
70,0.09684594870649632,-0.02357459146597085,2,SWDI colorado,SWDI PWL,
71,0.38424819409129496,0.30214795330346766,2,SWDI colorado,SWDI SL,
72,0.181495295612919,0.07236133502797493,2,SWDI colorado,gw elevation indicator,
73,0.5631069677068814,0.5048545634011323,2,SWDI colorado,gw pumping intensity,
74,0.15215818938925663,0.03911261464115756,2,SWDI colorado,exp_SWDI SC,
75,0.2381723102307921,0.13659528492823103,2,SWDI colorado,exp_SWDI delta imports,
76,0.10351520945450099,-0.016016095951565612,2,SWDI colorado,exp_SWDI colorado,
77,0.09425613459745752,-0.02650971412288139,2,SWDI colorado,exp_SWDI MEA,
78,0.10082474918142492,-0.019065284261051696,2,SWDI colorado,exp_SWDI PWL,
79,0.3386068591937569,0.25042110708625787,2,SWDI colorado,exp_SWDI SL,
80,0.2102369977261357,0.1049352640896205,2,SWDI colorado,exp_gw elevation indicator,
81,0.49175400501384403,0.42398787234902324,2,SWDI colorado,exp_gw pumping intensity,
82,0.08664359233745345,-0.03513726201755274,2,SWDI colorado,log_SWDI SC,
83,0.29907286863552307,0.20561591778692612,2,SWDI colorado,log_SWDI delta imports,
84,0.0836983995371694,-0.038475147191207926,2,SWDI colorado,log_SWDI colorado,
85,0.14385711175307025,0.029704726653479674,2,SWDI colorado,log_SWDI MEA,
86,0.0820476657074094,-0.04034597886493607,2,SWDI colorado,log_SWDI PWL,
87,0.32894554855198266,0.239471621692247,2,SWDI colorado,log_SWDI SL,
88,0.1461460689638503,0.03229887815903032,2,SWDI colorado,log_gw elevation indicator,
89,0.6570866565565181,0.6113648774307205,2,SWDI colorado,log_gw pumping intensity,
90,0.10997533017218963,-0.008694625804851697,2,SWDI MEA,SWDI PWL,
91,0.40334953122494277,0.32379613538826846,2,SWDI MEA,SWDI SL,
92,0.22388065061795404,0.12039807070034791,2,SWDI MEA,gw elevation indicator,
93,0.5791237591831802,0.5230069270742709,2,SWDI MEA,gw pumping intensity,
94,0.19872354066311138,0.09188667941819295,2,SWDI MEA,exp_SWDI SC,
95,0.26245350844225057,0.1641139762345507,2,SWDI MEA,exp_SWDI delta imports,
96,0.11367943084980625,-0.004496645036886182,2,SWDI MEA,exp_SWDI colorado,
97,0.12326869534772122,0.006371188060750765,2,SWDI MEA,exp_SWDI MEA,
98,0.10919534938866804,-0.009578604026176274,2,SWDI MEA,exp_SWDI PWL,
99,0.38183703834069505,0.29941531011945444,2,SWDI MEA,exp_SWDI SL,
100,0.24658750656417872,0.14613250743940254,2,SWDI MEA,exp_gw elevation indicator,
101,0.5230524980405815,0.4594594977793257,2,SWDI MEA,exp_gw pumping intensity,
102,0.12000380710125491,0.0026709813814222993,2,SWDI MEA,log_SWDI SC,
103,0.31267956092494675,0.2210368357149397,2,SWDI MEA,log_SWDI delta imports,
104,0.10959069079710815,-0.009130550429944151,2,SWDI MEA,log_SWDI colorado,
105,0.14755021739308172,0.03389024637882598,2,SWDI MEA,log_SWDI MEA,
106,0.12710917612001982,0.010723732936022468,2,SWDI MEA,log_SWDI PWL,
107,0.3257814252710234,0.2358856153071599,2,SWDI MEA,log_SWDI SL,
108,0.19137510880868158,0.08355845664983919,2,SWDI MEA,log_gw elevation indicator,
109,0.6468518352559347,0.5997654132900594,2,SWDI MEA,log_gw pumping intensity,
110,0.20345128938321944,0.09724479463431535,2,SWDI PWL,SWDI SL,
111,0.05343245284431797,-0.07277655344310618,2,SWDI PWL,gw elevation indicator,
112,0.5076290502733749,0.4419795903098249,2,SWDI PWL,gw pumping intensity,
113,0.0229338797241474,-0.10734160297929951,2,SWDI PWL,exp_SWDI SC,
114,0.09278231384319446,-0.02818004431104626,2,SWDI PWL,exp_SWDI delta imports,
115,0.12148926229957724,0.004354497272854196,2,SWDI PWL,exp_SWDI colorado,
116,0.09145426725895489,-0.02968516377318453,2,SWDI PWL,exp_SWDI MEA,
117,0.005013238292141509,-0.1276516632689062,2,SWDI PWL,exp_SWDI PWL,
118,0.1976847406200084,0.0907093727026762,2,SWDI PWL,exp_SWDI SL,
119,0.07662883424825373,-0.04648732118531251,2,SWDI PWL,exp_gw elevation indicator,
120,0.44647661931125904,0.3726735018860936,2,SWDI PWL,exp_gw pumping intensity,
121,0.01030949502513967,-0.12164923897150826,2,SWDI PWL,log_SWDI SC,
122,0.09004546018040094,-0.03128181179554557,2,SWDI PWL,log_SWDI delta imports,
123,0.07652825115685158,-0.04660131535556822,2,SWDI PWL,log_SWDI colorado,
124,0.14331705057981703,0.029092657323792626,2,SWDI PWL,log_SWDI MEA,
125,0.051465994167452234,-0.0750052066102207,2,SWDI PWL,log_SWDI PWL,
126,0.12921435337480902,0.013109600491450268,2,SWDI PWL,log_SWDI SL,
127,0.027636978874106544,-0.10201142394267926,2,SWDI PWL,log_gw elevation indicator,
128,0.5930786157258547,0.5388224311559687,2,SWDI PWL,log_gw pumping intensity,
129,0.1973399649605737,0.0903186269553169,2,SWDI SL,gw elevation indicator,
130,0.607458652083716,0.5551198056948781,2,SWDI SL,gw pumping intensity,
131,0.24023464284121665,0.13893259522004553,2,SWDI SL,exp_SWDI SC,
132,0.21484833850302498,0.11016145030342839,2,SWDI SL,exp_SWDI delta imports,
133,0.3772632285743662,0.2942316590509484,2,SWDI SL,exp_SWDI colorado,
134,0.37628268410037424,0.29312037531375745,2,SWDI SL,exp_SWDI MEA,
135,0.209123612052191,0.10367342699248316,2,SWDI SL,exp_SWDI PWL,
136,0.19781380562659634,0.09085564637680921,2,SWDI SL,exp_SWDI SL,
137,0.19303165459916716,0.08543587521238949,2,SWDI SL,exp_gw elevation indicator,
138,0.4992380082530302,0.43246974268676763,2,SWDI SL,exp_gw pumping intensity,
139,0.42314695659669443,0.3462332174762537,2,SWDI SL,log_SWDI SC,
140,0.21908773907001633,0.11496610427935183,2,SWDI SL,log_SWDI delta imports,
141,0.37339422029529945,0.28984678300133937,2,SWDI SL,log_SWDI colorado,
142,0.45159021377957176,0.37846890895018137,2,SWDI SL,log_SWDI MEA,
143,0.20399403034880248,0.09785990106197617,2,SWDI SL,log_SWDI PWL,
144,0.22836010134194706,0.12547478152087332,2,SWDI SL,log_SWDI SL,
145,0.2111152511324662,0.10593061795012837,2,SWDI SL,log_gw elevation indicator,
146,0.6384816460185245,0.5902791988209946,2,SWDI SL,log_gw pumping intensity,
147,0.5694323050921342,0.5120232791044188,2,gw elevation indicator,gw pumping intensity,
148,0.05626331662559336,-0.0695682411576608,2,gw elevation indicator,exp_SWDI SC,
149,0.0886036828552953,-0.0329158260973319,2,gw elevation indicator,exp_SWDI delta imports,
150,0.1803223025894899,0.07103194293475523,2,gw elevation indicator,exp_SWDI colorado,
151,0.17706820467520845,0.06734396529856956,2,gw elevation indicator,exp_SWDI MEA,
152,0.055284850714048206,-0.07067716919074529,2,gw elevation indicator,exp_SWDI PWL,
153,0.20865549745802114,0.10314289711909064,2,gw elevation indicator,exp_SWDI SL,
154,0.1377784399301234,0.022815565254139858,2,gw elevation indicator,exp_gw elevation indicator,
155,0.5162978730243029,0.45180425609420993,2,gw elevation indicator,exp_gw pumping intensity,
156,0.12357873537801456,0.006722566761749871,2,gw elevation indicator,log_SWDI SC,
157,0.0821117832454209,-0.04027331232185638,2,gw elevation indicator,log_SWDI delta imports,
158,0.18098542336206713,0.07178347981034272,2,gw elevation indicator,log_SWDI colorado,
159,0.32005825245239117,0.22939935277937673,2,gw elevation indicator,log_SWDI MEA,
160,0.06119134487907385,-0.06398314247038295,2,gw elevation indicator,log_SWDI PWL,
161,0.11354493050708014,-0.0046490787586424,2,gw elevation indicator,log_SWDI SL,
162,0.21258952803407305,0.10760146510528279,2,gw elevation indicator,log_gw elevation indicator,
163,0.5933168388265615,0.5390924173367697,2,gw elevation indicator,log_gw pumping intensity,
164,0.5781895106094289,0.5219481120240195,2,gw pumping intensity,exp_SWDI SC,
165,0.5674184075078597,0.509740861842241,2,gw pumping intensity,exp_SWDI delta imports,
166,0.5597280227923298,0.5010250924979738,2,gw pumping intensity,exp_SWDI colorado,
167,0.5610851947916566,0.5025632207638775,2,gw pumping intensity,exp_SWDI MEA,
168,0.5104561274067365,0.44518361106096804,2,gw pumping intensity,exp_SWDI PWL,
169,0.6158216119552974,0.5645978268826704,2,gw pumping intensity,exp_SWDI SL,
170,0.54784028035407,0.4875523177346126,2,gw pumping intensity,exp_gw elevation indicator,
171,0.514368520439491,0.4496176564980898,2,gw pumping intensity,exp_gw pumping intensity,
172,0.6451370013408186,0.5978219348529278,2,gw pumping intensity,log_SWDI SC,
173,0.5302012098376727,0.46756137114936247,2,gw pumping intensity,log_SWDI delta imports,
174,0.56377006159875,0.5056060698119167,2,gw pumping intensity,log_SWDI colorado,
175,0.6347913535156671,0.586096867317756,2,gw pumping intensity,log_SWDI MEA,
176,0.5065364121264067,0.4407412670765942,2,gw pumping intensity,log_SWDI PWL,
177,0.5554164714230021,0.49613866761273573,2,gw pumping intensity,log_SWDI SL,
178,0.5996268369641136,0.5462437485593288,2,gw pumping intensity,log_gw elevation indicator,
179,0.5766506764132602,0.5202040999350281,2,gw pumping intensity,log_gw pumping intensity,
180,0.12018731391063897,0.002878955765390878,2,exp_SWDI SC,exp_SWDI delta imports,
181,0.1610366381817152,0.049174856605943895,2,exp_SWDI SC,exp_SWDI colorado,
182,0.16064917620534025,0.04873573303271894,2,exp_SWDI SC,exp_SWDI MEA,
183,0.02394268675198341,-0.10619828834775213,2,exp_SWDI SC,exp_SWDI PWL,
184,0.23436051421157633,0.13227524943978652,2,exp_SWDI SC,exp_SWDI SL,
185,0.09239289335815959,-0.02862138752741905,2,exp_SWDI SC,exp_gw elevation indicator,
186,0.5029315691162636,0.4366557783317654,2,exp_SWDI SC,exp_gw pumping intensity,
187,0.14163603420389526,0.027187505431081282,2,exp_SWDI SC,log_SWDI SC,
188,0.09961070339245892,-0.02044120282187989,2,exp_SWDI SC,log_SWDI delta imports,
189,0.13954266490383493,0.02481502022434623,2,exp_SWDI SC,log_SWDI colorado,
190,0.2653257872596877,0.16736922556097944,2,exp_SWDI SC,log_SWDI MEA,
191,0.03389376081246265,-0.09492040441254224,2,exp_SWDI SC,log_SWDI PWL,
192,0.12293285515271823,0.005990569173080718,2,exp_SWDI SC,log_SWDI SL,
193,0.023437224171304005,-0.10677114593918868,2,exp_SWDI SC,log_gw elevation indicator,
194,0.6223357792741795,0.5719805498440701,2,exp_SWDI SC,log_gw pumping intensity,
195,0.24144314656933474,0.14030223277857945,2,exp_SWDI delta imports,exp_SWDI colorado,
196,0.23484350334407034,0.13282263712327969,2,exp_SWDI delta imports,exp_SWDI MEA,
197,0.09520756109330342,-0.02543143076092269,2,exp_SWDI delta imports,exp_SWDI PWL,
198,0.23338967234382302,0.13117496198966616,2,exp_SWDI delta imports,exp_SWDI SL,
199,0.09103074968601588,-0.030165150355848658,2,exp_SWDI delta imports,exp_gw elevation indicator,
200,0.49393509516834655,0.4264597745241261,2,exp_SWDI delta imports,exp_gw pumping intensity,
201,0.2053607245616662,0.09940882116988836,2,exp_SWDI delta imports,log_SWDI SC,
202,0.09258305443114823,-0.028405871644698655,2,exp_SWDI delta imports,log_SWDI delta imports,
203,0.22133383510198057,0.11751167978224464,2,exp_SWDI delta imports,log_SWDI colorado,
204,0.3097702514707169,0.2177396183334792,2,exp_SWDI delta imports,log_SWDI MEA,
205,0.09933741823631892,-0.020750925998838543,2,exp_SWDI delta imports,log_SWDI PWL,
206,0.11655722536948998,-0.0012351445812446293,2,exp_SWDI delta imports,log_SWDI SL,
207,0.0955425806302227,-0.02505174195241433,2,exp_SWDI delta imports,log_gw elevation indicator,
208,0.6081455946521473,0.5558983406057669,2,exp_SWDI delta imports,log_gw pumping intensity,
209,0.10175183536488652,-0.018014586586461823,2,exp_SWDI colorado,exp_SWDI MEA,
210,0.1309811600396672,0.015111981378289507,2,exp_SWDI colorado,exp_SWDI PWL,
211,0.33621658231589924,0.24771212662468578,2,exp_SWDI colorado,exp_SWDI SL,
212,0.20711342307860192,0.10139521282241548,2,exp_SWDI colorado,exp_gw elevation indicator,
213,0.49032211199811004,0.4223650602645247,2,exp_SWDI colorado,exp_gw pumping intensity,
214,0.10033852860621584,-0.019616334246288725,2,exp_SWDI colorado,log_SWDI SC,
215,0.2926587259422121,0.19834655606784035,2,exp_SWDI colorado,log_SWDI delta imports,
216,0.09791491371849737,-0.022363097785703,2,exp_SWDI colorado,log_SWDI colorado,
217,0.14525761725433806,0.031291966221583145,2,exp_SWDI colorado,log_SWDI MEA,
218,0.09815186185055358,-0.022094556569372648,2,exp_SWDI colorado,log_SWDI PWL,
219,0.31926201190546966,0.22849694682619892,2,exp_SWDI colorado,log_SWDI SL,
220,0.14864117150898282,0.03512666104351392,2,exp_SWDI colorado,log_gw elevation indicator,
221,0.6561229598436524,0.6102726878228061,2,exp_SWDI colorado,log_gw pumping intensity,
222,0.09085979266048572,-0.030358901651449388,2,exp_SWDI MEA,exp_SWDI PWL,
223,0.35601928531891736,0.2701551900281064,2,exp_SWDI MEA,exp_SWDI SL,
224,0.20168518074397457,0.09524320484317117,2,exp_SWDI MEA,exp_gw elevation indicator,
225,0.5035690165341955,0.43737821873875493,2,exp_SWDI MEA,exp_gw pumping intensity,
226,0.09459092484593623,-0.026130285174605472,2,exp_SWDI MEA,log_SWDI SC,
227,0.27713542826071036,0.18075348536213842,2,exp_SWDI MEA,log_SWDI delta imports,
228,0.09280023643518609,-0.028159732040122343,2,exp_SWDI MEA,log_SWDI colorado,
229,0.1454138977133146,0.03146908407508986,2,exp_SWDI MEA,log_SWDI MEA,
230,0.1072075855083856,-0.01183140309049624,2,exp_SWDI MEA,log_SWDI PWL,
231,0.294986845569458,0.2009850916453857,2,exp_SWDI MEA,log_SWDI SL,
232,0.1462125611852777,0.03237423600998146,2,exp_SWDI MEA,log_gw elevation indicator,
233,0.6362939106024166,0.5877997653494055,2,exp_SWDI MEA,log_gw pumping intensity,
234,0.2011823796464154,0.09467336359927081,2,exp_SWDI PWL,exp_SWDI SL,
235,0.07884140080894042,-0.043979745749867405,2,exp_SWDI PWL,exp_gw elevation indicator,
