,station,sensor_type,value,data_flag,units,date,month,year,name,Latitude,Longitude,River_Basin,HR_NAME,capacity
78,HVS,STORAGE,539500,,AF,1991-01-01,1.0,1991.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
79,HVS,STORAGE,551500,,AF,1991-02-01,2.0,1991.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
80,HVS,STORAGE,552300,,AF,1991-03-01,3.0,1991.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
81,HVS,STORAGE,607800,,AF,1991-04-01,4.0,1991.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
82,HVS,STORAGE,---,,AF,1991-05-01,5.0,1991.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
83,HVS,STORAGE,604600,,AF,1991-06-01,6.0,1991.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
84,HVS,STORAGE,601800,,AF,1991-07-01,7.0,1991.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
85,HVS,STORAGE,551500,,AF,1991-08-01,8.0,1991.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
86,HVS,STORAGE,579200,,AF,1991-09-01,9.0,1991.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
87,HVS,STORAGE,555600,,AF,1991-10-01,10.0,1991.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
88,HVS,STORAGE,547500,,AF,1991-11-01,11.0,1991.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
89,HVS,STORAGE,556500,,AF,1991-12-01,12.0,1991.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
90,HVS,STORAGE,549900,,AF,1992-01-01,1.0,1992.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
91,HVS,STORAGE,550400,,AF,1992-02-01,2.0,1992.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
92,HVS,STORAGE,549000,,AF,1992-03-01,3.0,1992.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
93,HVS,STORAGE,573800,,AF,1992-04-01,4.0,1992.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
94,HVS,STORAGE,588500,,AF,1992-05-01,5.0,1992.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
95,HVS,STORAGE,606600,,AF,1992-06-01,6.0,1992.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
96,HVS,STORAGE,594000,,AF,1992-07-01,7.0,1992.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
97,HVS,STORAGE,594600,,AF,1992-08-01,8.0,1992.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
98,HVS,STORAGE,580200,,AF,1992-09-01,9.0,1992.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
99,HVS,STORAGE,548000,,AF,1992-10-01,10.0,1992.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
100,HVS,STORAGE,540700,,AF,1992-11-01,11.0,1992.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
101,HVS,STORAGE,534600,,AF,1992-12-01,12.0,1992.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
102,HVS,STORAGE,550400,,AF,1993-01-01,1.0,1993.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
103,HVS,STORAGE,570200,,AF,1993-02-01,2.0,1993.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
104,HVS,STORAGE,599400,,AF,1993-03-01,3.0,1993.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
105,HVS,STORAGE,571700,,AF,1993-04-01,4.0,1993.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
106,HVS,STORAGE,594700,,AF,1993-05-01,5.0,1993.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
107,HVS,STORAGE,611200,,AF,1993-06-01,6.0,1993.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
108,HVS,STORAGE,600000,,AF,1993-07-01,7.0,1993.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
109,HVS,STORAGE,585800,,AF,1993-08-01,8.0,1993.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
110,HVS,STORAGE,593600,,AF,1993-09-01,9.0,1993.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
111,HVS,STORAGE,578700,,AF,1993-10-01,10.0,1993.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
112,HVS,STORAGE,549100,,AF,1993-11-01,11.0,1993.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
113,HVS,STORAGE,540400,,AF,1993-12-01,12.0,1993.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
114,HVS,STORAGE,550600,,AF,1994-01-01,1.0,1994.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
115,HVS,STORAGE,553600,,AF,1994-02-01,2.0,1994.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
116,HVS,STORAGE,538000,,AF,1994-03-01,3.0,1994.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
117,HVS,STORAGE,577000,,AF,1994-04-01,4.0,1994.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
118,HVS,STORAGE,569200,,AF,1994-05-01,5.0,1994.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
119,HVS,STORAGE,606200,,AF,1994-06-01,6.0,1994.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
120,HVS,STORAGE,597600,,AF,1994-07-01,7.0,1994.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
121,HVS,STORAGE,576000,,AF,1994-08-01,8.0,1994.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
122,HVS,STORAGE,576600,,AF,1994-09-01,9.0,1994.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
123,HVS,STORAGE,571300,,AF,1994-10-01,10.0,1994.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
124,HVS,STORAGE,546200,,AF,1994-11-01,11.0,1994.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
125,HVS,STORAGE,561300,,AF,1994-12-01,12.0,1994.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
126,HVS,STORAGE,578300,,AF,1995-01-01,1.0,1995.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
127,HVS,STORAGE,568700,,AF,1995-02-01,2.0,1995.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
128,HVS,STORAGE,569800,,AF,1995-03-01,3.0,1995.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
129,HVS,STORAGE,546800,,AF,1995-04-01,4.0,1995.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
130,HVS,STORAGE,597300,,AF,1995-05-01,5.0,1995.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
131,HVS,STORAGE,603400,,AF,1995-06-01,6.0,1995.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
132,HVS,STORAGE,612200,,AF,1995-07-01,7.0,1995.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
133,HVS,STORAGE,571300,,AF,1995-08-01,8.0,1995.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
134,HVS,STORAGE,571300,,AF,1995-09-01,9.0,1995.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
135,HVS,STORAGE,588300,,AF,1995-10-01,10.0,1995.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
136,HVS,STORAGE,596500,,AF,1995-11-01,11.0,1995.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
137,HVS,STORAGE,543100,,AF,1995-12-01,12.0,1995.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
138,HVS,STORAGE,546000,,AF,1996-01-01,1.0,1996.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
139,HVS,STORAGE,568500,,AF,1996-02-01,2.0,1996.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
140,HVS,STORAGE,569800,,AF,1996-03-01,3.0,1996.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
141,HVS,STORAGE,527000,,AF,1996-04-01,4.0,1996.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
142,HVS,STORAGE,580800,,AF,1996-05-01,5.0,1996.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
143,HVS,STORAGE,609800,,AF,1996-06-01,6.0,1996.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
144,HVS,STORAGE,594200,,AF,1996-07-01,7.0,1996.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
145,HVS,STORAGE,581400,,AF,1996-08-01,8.0,1996.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
146,HVS,STORAGE,594700,,AF,1996-09-01,9.0,1996.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
147,HVS,STORAGE,596700,,AF,1996-10-01,10.0,1996.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
148,HVS,STORAGE,580200,,AF,1996-11-01,11.0,1996.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
149,HVS,STORAGE,563900,,AF,1996-12-01,12.0,1996.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
150,HVS,STORAGE,555200,,AF,1997-01-01,1.0,1997.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
151,HVS,STORAGE,563900,,AF,1997-02-01,2.0,1997.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
152,HVS,STORAGE,586400,,AF,1997-03-01,3.0,1997.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
153,HVS,STORAGE,549700,,AF,1997-04-01,4.0,1997.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
154,HVS,STORAGE,580200,,AF,1997-05-01,5.0,1997.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
155,HVS,STORAGE,608800,,AF,1997-06-01,6.0,1997.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
156,HVS,STORAGE,593000,,AF,1997-07-01,7.0,1997.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
